"Variable_name","Variable_type"
"awb3_3_home_1_jb_work_2","character"
"awb3_3_home_1_jb_job_2","character"
"awb3_3_home_1_jb_relatn_3","haven_labelled"
"awb3_3_home_1_jb_othr_3","character"
"awb3_3_home_1_jb_work_3","character"
"awb3_3_home_1_jb_job_3","character"
"awb3_3_home_1_jb_no___1","haven_labelled"
"awb3_3_home_1_jb_no___2","haven_labelled"
"awb3_3_home_1_jb_no___3","haven_labelled"
"awb3_3_home_1_jb_no___4","haven_labelled"
"awb3_3_home_2_jb","haven_labelled"
"awb3_3_home_2_jb_relatn_1","haven_labelled"
"awb3_3_home_2_jb_othr_1","character"
"awb3_3_home_2_jb_work_1","character"
"awb3_3_home_2_jb_job_1","character"
"awb3_3_home_2_jb_relatn_2","haven_labelled"
"awb3_3_home_2_jb_othr_2","character"
"awb3_3_home_2_jb_work_2","character"
"awb3_3_home_2_jb_job_2","character"
"awb3_3_home_2_jb_relatn_3","haven_labelled"
"awb3_3_home_2_jb_othr_3","character"
"awb3_3_home_2_jb_work_3","character"
"awb3_3_home_2_jb_job_3","character"
"awb3_3_home_2_jb_no___1","haven_labelled"
"awb3_3_home_2_jb_no___2","haven_labelled"
"awb3_3_home_2_jb_no___3","haven_labelled"
"awb3_3_home_2_jb_no___4","haven_labelled"
"awb3_4_personal_assts_1","haven_labelled"
"awb3_4_personal_assts_2","haven_labelled"
"awb3_4_personal_assts_3","haven_labelled"
"awb3_4_personal_assts_4","haven_labelled"
"awb3_4_personal_assts_5","haven_labelled"
"awb3_4_personal_assts_6","haven_labelled"
"awb3_4_personal_assts_7","haven_labelled"
"awb3_4_prsnl_assts_7_othr","character"
"aw3_5_food_1","haven_labelled"
"aw3_5_food_2","haven_labelled"
"aw3_5_food_3","haven_labelled"
"aw3_5_food_4","haven_labelled"
"aw3_5_food_5","haven_labelled"
"aw3_6_comparison_1","haven_labelled"
"aw3_6_comparison_2","haven_labelled"
"aw3_6_comparison_3","haven_labelled"
"awb3_7_prsnl_sfty_1","haven_labelled"
"awb3_7_prsnl_sfty_2","haven_labelled"
"awb3_7_prsnl_sfty_3","haven_labelled"
"awb3_7_prsnl_sfty_4","haven_labelled"
"awb3_7_violence","haven_labelled"
"aw3_7_decisions","haven_labelled"
"awb3_activities_1_r5","haven_labelled"
"awb3_activities_2_r5","haven_labelled"
"awb3_activities_3_r5","haven_labelled"
"awb3_activities_4_r5","haven_labelled"
"awb3_activities_5_r5","haven_labelled"
"awb3_activities_6_r5","haven_labelled"
"awb3_activities_7_r5","haven_labelled"
"awb3_activities_8_r5","haven_labelled"
"awb3_activities_9_r5","haven_labelled"
"awb3_activities_10_r5","haven_labelled"
"awb3_activities_11_r5","haven_labelled"
"awb3_activities_12_r5","haven_labelled"
"awb3_activities_13_r5","haven_labelled"
"awb3_activities_14_r5","haven_labelled"
"awb3_activities_15_r5","haven_labelled"
"awb3_activities_16_r5","haven_labelled"
"awb3_activities_17_r5","haven_labelled"
"awb3_activities_18_r5","haven_labelled"
"awb3_4_activities_othr","character"
"awb3_4_motivation___1","haven_labelled"
"awb3_4_motivation___2","haven_labelled"
"awb3_4_motivation___3","haven_labelled"
"awb3_4_motivation___4","haven_labelled"
"awb3_4_motivation___5","haven_labelled"
"awb3_4_motivation___6","haven_labelled"
"awb3_4y_motivation","character"
"awb3_4_restriction___1","haven_labelled"
"awb3_4_restriction___2","haven_labelled"
"awb3_4_restriction___3","haven_labelled"
"awb3_4_restriction___4","haven_labelled"
"awb3_4_restriction___5","haven_labelled"
"awb3_4_restriction___6","haven_labelled"
"awb3_4_restriction___7","haven_labelled"
"awb3_4_restriction___8","haven_labelled"
"awb3_4y_restriction","character"
"awb3_4_act_1","haven_labelled"
"awb3_4_act_1_who","haven_labelled"
"awb3_4_act_1_who_othr","character"
"awb3_4_act_1_where","haven_labelled"
"awb3_4_act_1_where_othr","character"
"awb3_4_act_2","haven_labelled"
"awb3_4_act_2_who","haven_labelled"
"awb3_4_act_2_who_othr","character"
"awb3_4_act_2_where","haven_labelled"
"awb3_4_act_2_where_othr","character"
"awb3_4_act_3","haven_labelled"
"awb3_4_act_3_who","haven_labelled"
"awb3_4_act_3_who_othr","character"
"awb3_4_act_3_where","haven_labelled"
"awb3_4_act_3_where_othr","character"
"awb3_4_talent_in_arts___1","haven_labelled"
"awb3_4_talent_in_arts___2","haven_labelled"
"awb3_4_talent_in_arts___3","haven_labelled"
"awb3_4_talent_in_arts___4","haven_labelled"
"awb3_4_talent_in_arts___5","haven_labelled"
"awb3_4_talent_in_arts_r8","haven_labelled"
"aw1_2_years_lvd_r4","haven_labelled"
